iter	Passed	Remaining
0	158	23601
1	161	11919
2	163	8022
3	166	6085
4	169	4905
5	176	4246
6	179	3676
7	182	3241
8	186	2919
9	190	2660
10	193	2443
11	196	2254
12	198	2091
13	200	1952
14	204	1836
15	206	1731
16	209	1642
17	213	1565
18	216	1493
19	219	1427
20	222	1367
21	225	1310
22	228	1260
23	231	1214
24	233	1168
25	236	1128
26	239	1088
27	241	1052
28	244	1020
29	247	988
30	250	961
31	253	933
32	256	908
33	259	884
34	261	859
35	264	837
36	280	856
37	283	835
38	286	815
39	289	796
40	292	777
41	296	762
42	298	743
43	301	725
44	304	710
45	307	694
46	310	680
47	313	665
48	316	652
49	318	637
50	321	624
51	324	612
52	327	599
53	331	588
54	333	576
55	336	565
56	341	556
57	344	547
58	348	536
59	350	526
60	353	515
61	356	505
62	358	495
63	361	486
64	364	476
65	366	466
66	369	458
67	372	448
68	375	440
69	385	440
70	391	435
71	394	427
72	398	420
73	403	414
74	407	407
75	410	400
76	416	394
77	418	386
78	423	380
79	426	372
80	429	365
81	431	357
82	435	351
83	438	344
84	441	337
85	446	332
86	449	325
87	453	319
88	456	312
89	459	306
90	462	299
91	464	293
92	468	287
93	471	280
94	474	274
95	477	268
96	480	262
97	483	256
98	486	250
99	489	244
100	491	238
101	497	234
102	500	228
103	503	222
104	505	216
105	509	211
106	511	205
107	515	200
108	517	194
109	520	189
110	524	184
111	528	179
112	530	173
113	534	168
114	537	163
115	540	158
116	544	153
117	548	148
118	552	143
119	555	138
120	558	133
121	561	128
122	564	123
123	567	118
124	569	113
125	572	109
126	575	104
127	577	99
128	580	94
129	583	89
130	586	85
131	589	80
132	591	75
133	605	72
134	608	67
135	610	62
136	613	58
137	616	53
138	618	48
139	622	44
140	624	39
141	627	35
142	630	30
143	632	26
144	635	21
145	638	17
146	642	13
147	644	8
148	647	4
149	650	0
